Topic,Day,QuizID,QuestionNumber,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
Pre-Calculus,8,PC-08,1,"What is the slope of the line passing through the points (3,5) and (7,10)?",0,1.25,0.25,2.25,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,8,PC-08,2,"What is the slope of the line passing through the points (-3,4) and (0,7)?",0,1,2,0,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,8,PC-08,3,"What is the slope of the line passing through the points (2,0) and (6,4)?",1,0,0,2,A,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,9,PC-09,1,"What is the slope of the line passing through the points (-1,2) and (4,8)?",2.2,0.2,0,1.2,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,9,PC-09,2,"What is the slope of the line passing through the points (3,5) and (4,6)?",0,0,2,1,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,9,PC-09,3,"What is the slope of the line passing through the points (3,-1) and (8,0)?",-0.8,0.2,1.2,0,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,10,PC-10,1,"What is the slope of the line passing through the points (4,5) and (5,7)?",1,2,0,3,B,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,10,PC-10,2,"What is the slope of the line passing through the points (5,4) and (11,5)?",0,-0.83,0.17,1.17,C,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,10,PC-10,3,"What is the slope of the line passing through the points (2,-2) and (6,2)?",2,0,0,1,D,The slope is the change in y divided by the change in x (rise over run).
Pre-Calculus,11,PC-11,1,Which statement best describes a function?,Each input has exactly one output,Outputs are always positive,Each input has many outputs,Inputs equal outputs,A,A function relates each element of the domain to exactly one element of the codomain.
Pre-Calculus,11,PC-11,2,What is the domain of the function f(x) = sqrt(x + 9)?,x <= -9,x >= -9,x >= 9,All real numbers,B,"The expression inside the square root must be non-negative, so x+9 >= 0."
Pre-Calculus,11,PC-11,3,What is the domain of g(x) = 1/(x - 4)?,x < 4,x > 4,All real numbers except x != 4,All real numbers,C,"The denominator cannot be zero, so x != 4."
Pre-Calculus,12,PC-12,1,"For the function h(x) = x^2, which of the following is part of its range?",-1,0,-3,4,D,"The function squares all real numbers, so the range consists of non-negative real numbers."
Pre-Calculus,12,PC-12,2,"In a function, what is the set of all possible input values called?",Domain,Output,Codomain,Range,A,The domain is the set of input values for which the function is defined.
Pre-Calculus,12,PC-12,3,"Is the relation {(1, 2), (1, 3), (2, 4)} a function?","Yes, each input has one output","Yes, all outputs are distinct","No, because the input 1 has two outputs","No, because 2 maps to 4",C,A function assigns exactly one output to each input; here input 1 maps to both 2 and 3.
Pre-Calculus,13,PC-13,1,"For the function h(x) = x^2, which of the following is part of its range?",-1,4,-3,0,B,"The function squares all real numbers, so the range consists of non-negative real numbers."
Pre-Calculus,13,PC-13,2,"In a function, what is the set of all possible input values called?",Output,Range,Domain,Codomain,C,The domain is the set of input values for which the function is defined.
Pre-Calculus,13,PC-13,3,"Is the relation {(1, 2), (1, 3), (2, 4)} a function?","Yes, all outputs are distinct","No, because 2 maps to 4","No, because the input 1 has two outputs","Yes, each input has one output",C,A function assigns exactly one output to each input; here input 1 maps to both 2 and 3.
Pre-Calculus,14,PC-14,1,"For the function h(x) = x^2, which of the following is part of its range?",-1,0,-3,4,D,"The function squares all real numbers, so the range consists of non-negative real numbers."
Pre-Calculus,14,PC-14,2,"In a function, what is the set of all possible input values called?",Output,Domain,Codomain,Range,B,The domain is the set of input values for which the function is defined.
Pre-Calculus,14,PC-14,3,"Is the relation {(1, 2), (1, 3), (2, 4)} a function?","No, because 2 maps to 4","Yes, all outputs are distinct","No, because the input 1 has two outputs","Yes, each input has one output",C,A function assigns exactly one output to each input; here input 1 maps to both 2 and 3.
Pre-Calculus,15,PC-15,1,"For the function h(x) = x^2, which of the following is part of its range?",-1,0,4,-3,C,"The function squares all real numbers, so the range consists of non-negative real numbers."
Pre-Calculus,15,PC-15,2,"In a function, what is the set of all possible input values called?",Codomain,Range,Domain,Output,C,The domain is the set of input values for which the function is defined.
Pre-Calculus,15,PC-15,3,"Is the relation {(1, 2), (1, 3), (2, 4)} a function?","Yes, each input has one output","No, because the input 1 has two outputs","Yes, all outputs are distinct","No, because 2 maps to 4",B,A function assigns exactly one output to each input; here input 1 maps to both 2 and 3.
Pre-Calculus,16,PC-16,1,"In a right triangle, the sine of angle theta is defined as?",adjacent side / hypotenuse,opposite side / hypotenuse,opposite side / adjacent side,hypotenuse / opposite side,B,Sine is defined as the ratio of the length of the side opposite the angle to the hypotenuse.
Pre-Calculus,16,PC-16,2,What is the cosine of angle theta in a right triangle?,adjacent side / hypotenuse,opposite side / adjacent side,hypotenuse / adjacent side,opposite side / hypotenuse,A,Cosine is adjacent over hypotenuse.
Pre-Calculus,16,PC-16,3,Tangent of an angle in a right triangle is the ratio of?,adjacent side / hypotenuse,hypotenuse / adjacent side,opposite side / adjacent side,hypotenuse / opposite side,C,Tangent is opposite over adjacent.
Pre-Calculus,17,PC-17,1,What is sin(30 degrees)?,2-Jan,sqrt2/2,1,sqrt3/2,A,sin(30 degrees) has a standard value from the unit circle.
Pre-Calculus,17,PC-17,2,What is cos(30 degrees)?,sqrt2/2,2-Jan,0,sqrt3/2,D,cos(30 degrees) is a standard value from the unit circle.
Pre-Calculus,17,PC-17,3,What is tan(30 degrees)?,0,1,sqrt3,sqrt3/3,D,tan(30 degrees) is a standard value from the unit circle.
Pre-Calculus,18,PC-18,1,What is sin(45 degrees)?,1,sqrt3/2,sqrt2/2,2-Jan,C,sin(45 degrees) has a standard value from the unit circle.
Pre-Calculus,18,PC-18,2,What is cos(45 degrees)?,sqrt2/2,2-Jan,0,sqrt3/2,A,cos(45 degrees) is a standard value from the unit circle.
Pre-Calculus,18,PC-18,3,What is tan(45 degrees)?,sqrt3/3,sqrt3,1,0,C,tan(45 degrees) is a standard value from the unit circle.
Pre-Calculus,19,PC-19,1,What is sin(60 degrees)?,2-Jan,sqrt2/2,1,sqrt3/2,D,sin(60 degrees) has a standard value from the unit circle.
Pre-Calculus,19,PC-19,2,What is cos(60 degrees)?,2-Jan,sqrt2/2,sqrt3/2,0,A,cos(60 degrees) is a standard value from the unit circle.
Pre-Calculus,19,PC-19,3,What is tan(60 degrees)?,sqrt3,1,0,sqrt3/3,A,tan(60 degrees) is a standard value from the unit circle.
Pre-Calculus,20,PC-20,1,What is sin(30 degrees)?,2-Jan,sqrt3/2,1,sqrt2/2,A,sin(30 degrees) has a standard value from the unit circle.
Pre-Calculus,20,PC-20,2,What is cos(30 degrees)?,sqrt3/2,sqrt2/2,0,2-Jan,A,cos(30 degrees) is a standard value from the unit circle.
Pre-Calculus,20,PC-20,3,What is tan(30 degrees)?,1,sqrt3/3,0,sqrt3,B,tan(30 degrees) is a standard value from the unit circle.
Pre-Calculus,21,PC-21,1,What is the sum of the interior angles of a triangle?,90 degrees,180 degrees,360 degrees,270 degrees,B,The interior angles of any triangle add up to 180 degrees.
Pre-Calculus,21,PC-21,2,Which equation represents the Pythagorean theorem for a right triangle?,2a + 2b = c,a^2 + b^2 = c^2,a^2 - b^2 = c^2,ab = c^2,B,"In a right triangle, the sum of the squares of the legs equals the square of the hypotenuse."
Pre-Calculus,21,PC-21,3,"If a right triangle has legs 3 and 4 units, what is the length of the hypotenuse?",5,6,4,7,A,"Using the Pythagorean theorem, 3^2 + 4^2 = 9 + 16 = 25, so the hypotenuse is 5."
Pre-Calculus,22,PC-22,1,What is the sum of the interior angles of a triangle?,360 degrees,270 degrees,90 degrees,180 degrees,D,The interior angles of any triangle add up to 180 degrees.
Pre-Calculus,22,PC-22,2,Which equation represents the Pythagorean theorem for a right triangle?,ab = c^2,2a + 2b = c,a^2 + b^2 = c^2,a^2 - b^2 = c^2,C,"In a right triangle, the sum of the squares of the legs equals the square of the hypotenuse."
Pre-Calculus,22,PC-22,3,"If a right triangle has legs 3 and 4 units, what is the length of the hypotenuse?",4,6,5,7,C,"Using the Pythagorean theorem, 3^2 + 4^2 = 9 + 16 = 25, so the hypotenuse is 5."
Pre-Calculus,23,PC-23,1,What is the sum of the interior angles of a triangle?,270 degrees,90 degrees,360 degrees,180 degrees,D,The interior angles of any triangle add up to 180 degrees.
Pre-Calculus,23,PC-23,2,Which equation represents the Pythagorean theorem for a right triangle?,a^2 - b^2 = c^2,ab = c^2,a^2 + b^2 = c^2,2a + 2b = c,C,"In a right triangle, the sum of the squares of the legs equals the square of the hypotenuse."
Pre-Calculus,23,PC-23,3,"If a right triangle has legs 3 and 4 units, what is the length of the hypotenuse?",5,6,4,7,A,"Using the Pythagorean theorem, 3^2 + 4^2 = 9 + 16 = 25, so the hypotenuse is 5."
Pre-Calculus,24,PC-24,1,What is the sum of the interior angles of a triangle?,360 degrees,90 degrees,180 degrees,270 degrees,C,The interior angles of any triangle add up to 180 degrees.
Pre-Calculus,24,PC-24,2,Which equation represents the Pythagorean theorem for a right triangle?,a^2 + b^2 = c^2,a^2 - b^2 = c^2,2a + 2b = c,ab = c^2,A,"In a right triangle, the sum of the squares of the legs equals the square of the hypotenuse."
Pre-Calculus,24,PC-24,3,"If a right triangle has legs 3 and 4 units, what is the length of the hypotenuse?",5,7,4,6,A,"Using the Pythagorean theorem, 3^2 + 4^2 = 9 + 16 = 25, so the hypotenuse is 5."
Pre-Calculus,25,PC-25,1,What is the sum of the interior angles of a triangle?,90 degrees,360 degrees,270 degrees,180 degrees,D,The interior angles of any triangle add up to 180 degrees.
Pre-Calculus,25,PC-25,2,Which equation represents the Pythagorean theorem for a right triangle?,2a + 2b = c,a^2 + b^2 = c^2,ab = c^2,a^2 - b^2 = c^2,B,"In a right triangle, the sum of the squares of the legs equals the square of the hypotenuse."
Pre-Calculus,25,PC-25,3,"If a right triangle has legs 3 and 4 units, what is the length of the hypotenuse?",4,5,7,6,B,"Using the Pythagorean theorem, 3^2 + 4^2 = 9 + 16 = 25, so the hypotenuse is 5."
Pre-Calculus,26,PC-26,1,What is the slope of a horizontal line?,Depends on line,Undefined,0,1,C,"A horizontal line has no vertical change, so its slope is zero."
Pre-Calculus,26,PC-26,2,What is the slope of a vertical line?,Undefined,1,Depends on line,0,A,"A vertical line has no horizontal change, so the slope is undefined."
Pre-Calculus,26,PC-26,3,"In a right triangle, which ratio equals cos(theta)?",hypotenuse/opposite,opposite/adjacent,adjacent/hypotenuse,opposite/hypotenuse,C,Cosine is the ratio of the adjacent side to the hypotenuse.
Pre-Calculus,27,PC-27,1,"Does the set {(0,1),(2,3),(3,3)} define a function?","Yes, because outputs repeat","Yes, each input has one output","No, outputs are identical","No, input 3 maps to two outputs",B,"Each x-value is paired with a single y-value, so it is a function."
Pre-Calculus,27,PC-27,2,Which ratio defines the tangent of angle theta?,hypotenuse/opposite,opposite/hypotenuse,adjacent/hypotenuse,opposite/adjacent,D,Tangent is the ratio of the opposite side to the adjacent side.
Pre-Calculus,27,PC-27,3,"In a right triangle, which ratio equals cos(theta)?",opposite/adjacent,hypotenuse/opposite,opposite/hypotenuse,adjacent/hypotenuse,D,Cosine is the ratio of the adjacent side to the hypotenuse.
Pre-Calculus,28,PC-28,1,What is the slope of a horizontal line?,1,Undefined,Depends on line,0,D,"A horizontal line has no vertical change, so its slope is zero."
Pre-Calculus,28,PC-28,2,What is the slope of a vertical line?,1,Depends on line,0,Undefined,D,"A vertical line has no horizontal change, so the slope is undefined."
Pre-Calculus,28,PC-28,3,"In a right triangle, which ratio equals cos(theta)?",hypotenuse/opposite,opposite/hypotenuse,adjacent/hypotenuse,opposite/adjacent,C,Cosine is the ratio of the adjacent side to the hypotenuse.
Pre-Calculus,29,PC-29,1,"Does the set {(0,1),(2,3),(3,3)} define a function?","Yes, because outputs repeat","Yes, each input has one output","No, outputs are identical","No, input 3 maps to two outputs",B,"Each x-value is paired with a single y-value, so it is a function."
Pre-Calculus,29,PC-29,2,Which ratio defines the tangent of angle theta?,opposite/adjacent,adjacent/hypotenuse,hypotenuse/opposite,opposite/hypotenuse,A,Tangent is the ratio of the opposite side to the adjacent side.
Pre-Calculus,29,PC-29,3,"In a right triangle, which ratio equals cos(theta)?",hypotenuse/opposite,opposite/hypotenuse,adjacent/hypotenuse,opposite/adjacent,C,Cosine is the ratio of the adjacent side to the hypotenuse.
Pre-Calculus,30,PC-30,1,What is the slope of a horizontal line?,Undefined,1,Depends on line,0,D,"A horizontal line has no vertical change, so its slope is zero."
Pre-Calculus,30,PC-30,2,What is the slope of a vertical line?,Undefined,1,Depends on line,0,A,"A vertical line has no horizontal change, so the slope is undefined."
Pre-Calculus,30,PC-30,3,"In a right triangle, which ratio equals cos(theta)?",hypotenuse/opposite,opposite/adjacent,opposite/hypotenuse,adjacent/hypotenuse,D,Cosine is the ratio of the adjacent side to the hypotenuse.
Algebra,1,ALG-01,1,Solve for x: 4x + 6 = 14,3,2,0,1,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,1,ALG-01,2,Solve for x: 4x + -2 = -14,-2,-3,-4,0,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,1,ALG-01,3,Solve for x: 3x + -7 = 8,5,6,0,4,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,2,ALG-02,1,Solve for x: 1x + -5 = -5,0,-1,1,0,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,2,ALG-02,2,Solve for x: 2x + -3 = -11,-5,0,-3,-4,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,2,ALG-02,3,Solve for x: 4x + -5 = 11,5,3,4,0,C,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,3,ALG-03,1,Solve for x: 2x + 5 = -1,0,-3,-4,-2,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,3,ALG-03,2,Solve for x: 1x + -9 = -11,0,-3,-1,-2,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,3,ALG-03,3,Solve for x: 5x + -7 = -12,-1,-2,0,0,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,4,ALG-04,1,Solve for x: 1x + 2 = -3,-6,-4,0,-5,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,4,ALG-04,2,Solve for x: 1x + 2 = 2,0,1,0,-1,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,4,ALG-04,3,Solve for x: 1x + -1 = 0,0,0,2,1,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,5,ALG-05,1,Solve for x: 2x + -9 = -17,-5,-3,-4,0,C,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,5,ALG-05,2,Solve for x: 1x + -6 = -4,2,0,1,3,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,5,ALG-05,3,Solve for x: 5x + -2 = -2,0,1,-1,0,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,6,ALG-06,1,Solve for x: 3x + -6 = -18,-5,-3,-4,0,C,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,6,ALG-06,2,Solve for x: 3x + 2 = -4,-3,-2,0,-1,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,6,ALG-06,3,Solve for x: 2x + 9 = 9,-1,0,1,0,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,7,ALG-07,1,Solve for x: 1x + -9 = -11,-2,-1,0,-3,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,7,ALG-07,2,Solve for x: 3x + 6 = -3,0,-3,-4,-2,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,7,ALG-07,3,Solve for x: 2x + 1 = 5,2,3,0,1,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,8,ALG-08,1,Solve for x: 5x + 9 = 4,0,-1,-2,0,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,8,ALG-08,2,Solve for x: 1x + 6 = 7,0,2,0,1,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,8,ALG-08,3,Solve for x: 5x + 3 = 3,0,-1,1,0,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,9,ALG-09,1,Solve for x: 5x + 3 = -7,-1,0,-3,-2,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,9,ALG-09,2,Solve for x: 4x + -1 = 19,4,6,0,5,D,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,9,ALG-09,3,Solve for x: 3x + -2 = 10,3,4,5,0,B,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,10,ALG-10,1,Solve for x: 2x + -4 = -10,-3,0,-4,-2,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,10,ALG-10,2,Solve for x: 3x + 2 = 17,5,6,0,4,A,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,10,ALG-10,3,Solve for x: 1x + -6 = -11,0,-6,-5,-4,C,"To solve, subtract the constant term and divide by the coefficient as described in the linear equation solving rules."
Algebra,11,ALG-11,1,"Find the slope of the line through (1,-1) and (3,2).",2.5,0.5,1.5,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,11,ALG-11,2,"Find the slope of the line through (0,-4) and (3,-1).",1,2,0,0,A,The slope is computed as the change in y divided by the change in x.
Algebra,11,ALG-11,3,"Find the slope of the line through (1,-3) and (3,1).",3,1,0,2,D,The slope is computed as the change in y divided by the change in x.
Algebra,12,ALG-12,1,"Find the slope of the line through (-5,-5) and (-4,-1).",0,5,3,4,D,The slope is computed as the change in y divided by the change in x.
Algebra,12,ALG-12,2,"Find the slope of the line through (2,4) and (3,9).",4,6,0,5,D,The slope is computed as the change in y divided by the change in x.
Algebra,12,ALG-12,3,"Find the slope of the line through (0,2) and (2,4).",2,0,1,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,13,ALG-13,1,"Find the slope of the line through (2,-5) and (6,-10).",-2.25,-0.25,-1.25,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,13,ALG-13,2,"Find the slope of the line through (0,5) and (2,7).",0,1,2,0,B,The slope is computed as the change in y divided by the change in x.
Algebra,13,ALG-13,3,"Find the slope of the line through (-4,4) and (-2,3).",0,-0.5,0.5,-1.5,B,The slope is computed as the change in y divided by the change in x.
Algebra,14,ALG-14,1,"Find the slope of the line through (2,-1) and (3,-2).",0,0,-2,-1,D,The slope is computed as the change in y divided by the change in x.
Algebra,14,ALG-14,2,"Find the slope of the line through (3,-4) and (5,-4).",-1,0,1,0,B,The slope is computed as the change in y divided by the change in x.
Algebra,14,ALG-14,3,"Find the slope of the line through (2,2) and (4,-3).",0,-2.5,-1.5,-3.5,B,The slope is computed as the change in y divided by the change in x.
Algebra,15,ALG-15,1,"Find the slope of the line through (2,0) and (4,3).",0.5,0,1.5,2.5,C,The slope is computed as the change in y divided by the change in x.
Algebra,15,ALG-15,2,"Find the slope of the line through (-3,1) and (2,-3).",-1.8,0,-0.8,0.2,C,The slope is computed as the change in y divided by the change in x.
Algebra,15,ALG-15,3,"Find the slope of the line through (4,-4) and (7,-2).",0.67,0,1.67,-0.33,A,The slope is computed as the change in y divided by the change in x.
Algebra,16,ALG-16,1,"Find the slope of the line through (-2,5) and (1,4).",0.67,-1.33,-0.33,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,16,ALG-16,2,"Find the slope of the line through (-1,1) and (4,-4).",-2,0,-1,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,16,ALG-16,3,"Find the slope of the line through (-5,-2) and (0,-2).",0,1,0,-1,C,The slope is computed as the change in y divided by the change in x.
Algebra,17,ALG-17,1,"Find the slope of the line through (0,-5) and (1,-10).",-6,-4,-5,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,17,ALG-17,2,"Find the slope of the line through (-3,-1) and (2,1).",-0.6,1.4,0.4,0,C,The slope is computed as the change in y divided by the change in x.
Algebra,17,ALG-17,3,"Find the slope of the line through (-4,3) and (-2,-2).",-3.5,-2.5,0,-1.5,B,The slope is computed as the change in y divided by the change in x.
Algebra,18,ALG-18,1,"Find the slope of the line through (-4,3) and (-1,1).",-0.67,-1.67,0.33,0,A,The slope is computed as the change in y divided by the change in x.
Algebra,18,ALG-18,2,"Find the slope of the line through (-1,-2) and (3,-5).",0,-1.75,-0.75,0.25,C,The slope is computed as the change in y divided by the change in x.
Algebra,18,ALG-18,3,"Find the slope of the line through (4,4) and (5,6).",3,2,1,0,B,The slope is computed as the change in y divided by the change in x.
Algebra,19,ALG-19,1,"Find the slope of the line through (-3,-2) and (-2,2).",4,5,0,3,A,The slope is computed as the change in y divided by the change in x.
Algebra,19,ALG-19,2,"Find the slope of the line through (-2,-2) and (0,2).",3,0,1,2,D,The slope is computed as the change in y divided by the change in x.
Algebra,19,ALG-19,3,"Find the slope of the line through (1,-5) and (6,-9).",0,-1.8,-0.8,0.2,C,The slope is computed as the change in y divided by the change in x.
Algebra,20,ALG-20,1,"Find the slope of the line through (3,-3) and (5,-8).",-2.5,0,-1.5,-3.5,A,The slope is computed as the change in y divided by the change in x.
Algebra,20,ALG-20,2,"Find the slope of the line through (-4,1) and (-2,5).",3,0,2,1,C,The slope is computed as the change in y divided by the change in x.
Algebra,20,ALG-20,3,"Find the slope of the line through (-5,4) and (-3,2).",-1,-2,0,0,A,The slope is computed as the change in y divided by the change in x.
Algebra,21,ALG-21,1,Which expression is the standard form of a linear equation?,x^2 + bx + c = 0,a/b = c,y = mx + b,ax + b = 0,D,A linear equation can be written in the form ax + b = 0 with real constants a and b.
Algebra,21,ALG-21,2,"If a = b, which property allows you to add the same number c to both sides?",Addition property of equality,Division property,Multiplication property,Substitution,A,We can add the same quantity to both sides of an equation without changing the equality.
Algebra,21,ALG-21,3,"Does the relation {(2,5),(2,6),(3,7)} represent a function?","No, because input 2 maps to two outputs","Yes, because outputs are distinct","Yes, each input has one output","No, because of duplicate outputs",A,A function assigns exactly one output to each input; input 2 has two outputs.
Algebra,22,ALG-22,1,Which expression is the standard form of a linear equation?,y = mx + b,x^2 + bx + c = 0,ax + b = 0,a/b = c,C,A linear equation can be written in the form ax + b = 0 with real constants a and b.
Algebra,22,ALG-22,2,"If a = b, which property allows you to add the same number c to both sides?",Addition property of equality,Substitution,Multiplication property,Division property,A,We can add the same quantity to both sides of an equation without changing the equality.
Algebra,22,ALG-22,3,"Does the relation {(2,5),(2,6),(3,7)} represent a function?","No, because of duplicate outputs","Yes, each input has one output","No, because input 2 maps to two outputs","Yes, because outputs are distinct",C,A function assigns exactly one output to each input; input 2 has two outputs.
Algebra,23,ALG-23,1,Which expression is the standard form of a linear equation?,y = mx + b,ax + b = 0,x^2 + bx + c = 0,a/b = c,B,A linear equation can be written in the form ax + b = 0 with real constants a and b.
Algebra,23,ALG-23,2,"If a = b, which property allows you to add the same number c to both sides?",Multiplication property,Addition property of equality,Division property,Substitution,B,We can add the same quantity to both sides of an equation without changing the equality.
Algebra,23,ALG-23,3,"Does the relation {(2,5),(2,6),(3,7)} represent a function?","Yes, because outputs are distinct","No, because of duplicate outputs","No, because input 2 maps to two outputs","Yes, each input has one output",C,A function assigns exactly one output to each input; input 2 has two outputs.
Algebra,24,ALG-24,1,Which expression is the standard form of a linear equation?,y = mx + b,x^2 + bx + c = 0,a/b = c,ax + b = 0,D,A linear equation can be written in the form ax + b = 0 with real constants a and b.
Algebra,24,ALG-24,2,"If a = b, which property allows you to add the same number c to both sides?",Division property,Multiplication property,Substitution,Addition property of equality,D,We can add the same quantity to both sides of an equation without changing the equality.
Algebra,24,ALG-24,3,"Does the relation {(2,5),(2,6),(3,7)} represent a function?","Yes, because outputs are distinct","No, because of duplicate outputs","No, because input 2 maps to two outputs","Yes, each input has one output",C,A function assigns exactly one output to each input; input 2 has two outputs.
